"SeriesCode","Year","DESCRIPTION",
"SP.ADO.TFRT","YR1960","Interpolated using data for 1957 and 1962.",
"SP.ADO.TFRT","YR1961","Interpolated using data for 1957 and 1962.",
"SP.ADO.TFRT","YR1962","The data refer to 1960-1965.",
"SP.ADO.TFRT","YR1963","Interpolated using data for 1962 and 1967.",
"SP.ADO.TFRT","YR1964","Interpolated using data for 1962 and 1967.",
"SP.ADO.TFRT","YR1965","Interpolated using data for 1962 and 1967.",
"SP.ADO.TFRT","YR1966","Interpolated using data for 1962 and 1967.",
"SP.ADO.TFRT","YR1967","The data refer to 1965-1970.",
"SP.ADO.TFRT","YR1968","Interpolated using data for 1967 and 1972.",
"SP.ADO.TFRT","YR1969","Interpolated using data for 1967 and 1972.",
"SP.ADO.TFRT","YR1970","Interpolated using data for 1967 and 1972.",
"SP.ADO.TFRT","YR1971","Interpolated using data for 1967 and 1972.",
"SP.ADO.TFRT","YR1972","The data refer to 1970-1975.",
"SP.ADO.TFRT","YR1973","Interpolated using data for 1972 and 1977.",
"SP.ADO.TFRT","YR1974","Interpolated using data for 1972 and 1977.",
"SP.ADO.TFRT","YR1975","Interpolated using data for 1972 and 1977.",
"SP.ADO.TFRT","YR1976","Interpolated using data for 1972 and 1977.",
"SP.ADO.TFRT","YR1977","The data refer to 1975-1980.",
"SP.ADO.TFRT","YR1978","Interpolated using data for 1977 and 1982.",
"SP.ADO.TFRT","YR1979","Interpolated using data for 1977 and 1982.",
"SP.ADO.TFRT","YR1980","Interpolated using data for 1977 and 1982.",
"SP.ADO.TFRT","YR1981","Interpolated using data for 1977 and 1982.",
"SP.ADO.TFRT","YR1982","The data refer to 1980-1985.",
"SP.ADO.TFRT","YR1983","Interpolated using data for 1982 and 1987.",
"SP.ADO.TFRT","YR1984","Interpolated using data for 1982 and 1987.",
"SP.ADO.TFRT","YR1985","Interpolated using data for 1982 and 1987.",
"SP.ADO.TFRT","YR1986","Interpolated using data for 1982 and 1987.",
"SP.ADO.TFRT","YR1987","The data refer to 1985-1990.",
"SP.ADO.TFRT","YR1988","Interpolated using data for 1987 and 1992.",
"SP.ADO.TFRT","YR1989","Interpolated using data for 1987 and 1992.",
"SP.ADO.TFRT","YR1990","Interpolated using data for 1987 and 1992.",
"SP.DYN.CONM.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SH.STA.ORCF.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SP.DYN.CONU.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SH.STA.BRTC.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SH.STA.BFED.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SH.STA.ARIC.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SH.STA.ANVC.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SH.MED.PHYS.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SH.MED.NUMW.P3","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SH.MED.CMHW.P3","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SH.FPL.SATM.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SP.DYN.WFRT","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SP.REG.DTHS.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SP.UWT.TFRT","YR1990","Averages for regions/groups are based on country-level data around 1990.",
"SP.ADO.TFRT","YR1991","Interpolated using data for 1987 and 1992.",
"SP.ADO.TFRT","YR1992","The data refer to 1990-1995.",
"SP.ADO.TFRT","YR1993","Interpolated using data for 1992 and 1997.",
"SP.ADO.TFRT","YR1994","Interpolated using data for 1992 and 1997.",
"SP.ADO.TFRT","YR1995","Interpolated using data for 1992 and 1997.",
"SP.ADO.TFRT","YR1996","Interpolated using data for 1992 and 1997.",
"SP.ADO.TFRT","YR1997","The data refer to 1995-2000.",
"SP.ADO.TFRT","YR1998","Interpolated using data for 1997 and 2002.",
"SP.ADO.TFRT","YR1999","Interpolated using data for 1997 and 2002.",
"SN.ITK.SALT.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SH.MLR.TRET.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SH.MLR.NETS.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SH.MED.NUMW.P3","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SH.CON.1524.MA.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SH.CON.1524.FE.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SP.UWT.TFRT","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SP.REG.DTHS.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SP.DYN.CONU.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SP.DYN.CONM.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SP.REG.BRTH.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SP.ADO.TFRT","YR2000","Interpolated using data for 1997 and 2002.",
"SH.STA.ORCF.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SH.STA.BRTC.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SH.STA.BFED.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SH.STA.ARIC.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SH.STA.ANVC.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SH.MED.PHYS.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SH.MED.CMHW.P3","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SP.DYN.WFRT","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SH.FPL.SATM.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000.",
"SP.ADO.TFRT","YR2001","Interpolated using data for 1997 and 2002.",
"IC.GOV.DURS.ZS","YR2002    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.TRNG.ZS","YR2002    ","The sample was drawn from the manufacturing sector only.",
"IC.TAX.METG","YR2002    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.OUTG.ZS","YR2002    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.FREG.ZS","YR2002    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.FEMO.ZS","YR2002    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.DURS","YR2002    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.CRIM.ZS","YR2002    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.CORR.ZS","YR2002    ","The sample was drawn from the manufacturing sector only.",
"SP.ADO.TFRT","YR2002","The data refer to 2000-2005.",
"IC.FRM.BNKS.ZS","YR2002    ","The sample was drawn from the manufacturing sector only.",
"IC.CUS.DURS.EX","YR2002    ","The sample was drawn from the manufacturing sector only.",
"IC.TAX.METG","YR2003    ","The sample was drawn from the manufacturing sector only.",
"IC.GOV.DURS.ZS","YR2003    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.TRNG.ZS","YR2003    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.OUTG.ZS","YR2003    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.FREG.ZS","YR2003    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.FEMO.ZS","YR2003    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.DURS","YR2003    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.CRIM.ZS","YR2003    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.CORR.ZS","YR2003    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.BNKS.ZS","YR2003    ","The sample was drawn from the manufacturing sector only.",
