ObjectId,Country/Region,ISO2,ISO3,Indicator,Technology,Energy_Type,Unit,Source,CTS_Name,CTS_Code,CTS_Full_Descriptor,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020
1,Advanced Economies,,AETMP,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2022-09-28; IMF Staff Calculations.",,,,110053.796,106524.006,116718.93,124214.129,135792.431,151295.911,161158.493,169940.393,178032.558,183068.223,201307.551,208500.849,224904.936,239773.166,252341.18,264181.433,274068.035,283583.581,287858.956,293917.663,296348.479
2,Advanced Economies,,AETMP,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2022-09-28; IMF Staff Calculations.",,,,18788.046,20371.893,21203.368,23002.811,24826.46,28037.973,30689.469,31758.001,33300.994,36229.935,38379.952,41776.427,43690.635,46115.653,48575.397,50782.092,53205.387,55580.629,58470.495,59285.425,59698.238
3,Advanced Economies,,AETMP,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2022-09-28; IMF Staff Calculations.",,,,5564064.84,5504484.424,5688040.566,5840829.88,5916234.065,6052670.485,6067351.31,6301631.339,6223677.766,5849578.722,6214919.013,6184941.257,6192108.018,6103628.918,5966341.171,5895296.029,5862708.121,5724991.355,5780558.599,5552191.52,5239862.113
4,Advanced Economies,,AETMP,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2022-09-28; IMF Staff Calculations.",,,,1241564.571,1285952.868,1351010.805,1397854.522,1423110.001,1440929.169,1455166.243,1471667.54,1494723.125,1514008.867,1541775.321,1548870.635,1549434.445,1536047.763,1543835.825,1520799.171,1507492.99,1504881.823,1519986.073,1496654.33,1487980.682
5,Advanced Economies,,AETMP,Electricity Generation,Geothermal energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2022-09-28; IMF Staff Calculations.",,,,26919.1,26474.1,27225.065,27854.065,28572.826,30147.859,31192.699,32547.085,33405.587,34713.42,35972.636,37192.016,38076.418,38936.706,40294.245,40949.973,40915.479,41096.979,41910.671,41891.049,42477.806
6,Advanced Economies,,AETMP,Electricity Installed Capacity,Geothermal energy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2022-09-28; IMF Staff Calculations.",,,,4506.2,3941.2,4027.2,3961.1,3915.3,4161.315,4337.215,4362.015,4589.015,4811.015,5222.015,5329.915,5522.515,5625.015,5696.015,5755.765,5740.174,5700.313,5730.843,5855.423,5926.423
7,Advanced Economies,,AETMP,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2022-09-28; IMF Staff Calculations.",,,,1224603.659,1117321.545,1181014.791,1136464.499,1165748.52,1188652.817,1186410.851,1166264.704,1214615.47,1210929.826,1190459.377,1243962.713,1263113.741,1264383.125,1250084.886,1229009.684,1243653.399,1271436.977,1269851.59,1242325.516,1273289.385
8,Advanced Economies,,AETMP,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2022-09-28; IMF Staff Calculations.",,,,312094.71,316766.328,319756.278,320737.278,320864.184,323722.459,325239.568,327132.181,329242.646,330949.186,336996.419,338550.037,339402.583,340868.717,341434.053,346399.311,349888.024,351509.989,353415.935,354023.983,355202.669
9,Advanced Economies,,AETMP,Electricity Generation,Marine energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2022-09-28; IMF Staff Calculations.",,,,539.307,516.956,526.485,523.394,501.211,508.925,483.27,488.31,480.156,479.023,507.721,556.926,955.614,917.681,991.285,1000.805,1015.892,1021.318,994.646,968.273,950.362
10,Advanced Economies,,AETMP,Electricity Installed Capacity,Marine energy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2022-09-28; IMF Staff Calculations.",,,,234,235.5,238.5,239.5,238.5,236.5,235.5,236.5,239.5,240.215,243.845,496.63,502.959,503.166,505.831,505.932,512.412,515.968,516.06,514.94,512.145
11,Advanced Economies,,AETMP,Electricity Generation,Nuclear,Total Non-Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2022-09-28; IMF Staff Calculations.",,,,2211452,2239740,2248521,2199560,2293884,2319731,2325188,2248494,2247870,2215894,2246370,2045588.763,1905972.017,1920103.671,1940018.009,1922823.751,1912144.841,1892848.705,1921694.181,1932006.335,1807090.327
